month,day,hour,energy
1,27,4,1948
1,27,5,2151
1,27,6,2523
1,27,7,2462
1,27,8,1916
1,27,9,1254
1,27,10,-193
1,27,11,148
1,27,12,372
1,27,13,361
1,27,14,201
1,27,15,256
1,27,16,-158
1,27,17,1556
1,27,18,1609
1,27,19,1733
1,27,20,1854
1,27,21,1934
1,27,22,1583
1,27,23,1935
1,27,24,1869
1,28,1,2005
1,28,2,1693
1,28,3,1545
1,28,4,1626
1,28,5,2044
1,28,6,2222
1,28,7,2129
1,28,8,1826
1,28,9,1292
1,28,10,603
1,28,11,200
1,28,12,484
1,28,13,480
1,28,14,432
1,28,15,432
1,28,16,57
1,28,17,1753
1,28,18,1904
1,28,19,2106
1,28,20,1928
1,28,21,1854
1,28,22,1755
1,28,23,1905
1,28,24,1796
1,29,1,1890
1,29,2,1871
1,29,3,1822
1,29,4,1841
1,29,5,1833
1,29,6,1971
1,29,7,2110
1,29,8,1941
1,29,9,2083
1,29,10,1885
1,29,11,1405
1,29,12,535
1,29,13,341
1,29,14,425
1,29,15,701
1,29,16,1650
1,29,17,2050
1,29,18,2152
1,29,19,2082
1,29,20,2070
1,29,21,1909
1,29,22,1823
1,29,23,1963
1,29,24,1773
1,30,1,1512
1,30,2,1370
1,30,3,1367
1,30,4,1583
1,30,5,1832
1,30,6,1778
1,30,7,1807
1,30,8,1808
1,30,9,366
1,30,10,82
1,30,11,88
1,30,12,-40
1,30,13,-159
1,30,14,-167
1,30,15,-157
1,30,16,289
1,30,17,1802
1,30,18,1245
1,30,19,1285
1,30,20,1309
1,30,21,833
1,30,22,600
1,30,23,905
1,30,24,706
1,31,1,540
1,31,2,548
1,31,3,659
1,31,4,607
1,31,5,747
1,31,6,453
1,31,7,827
1,31,8,1082
1,31,9,876
1,31,10,-72
1,31,11,-4
1,31,12,-183
1,31,13,-244
1,31,14,-276
1,31,15,-175
1,31,16,30
1,31,17,1132
1,31,18,1696
1,31,19,1892
1,31,20,1942
1,31,21,1754
1,31,22,1173
1,31,23,1258
1,31,24,1258
2,1,1,1739
2,1,2,1586
2,1,3,1493
2,1,4,1436
2,1,5,1698
2,1,6,2220
2,1,7,1792
2,1,8,1760
2,1,9,1436
2,1,10,1328
2,1,11,355
2,1,12,69
2,1,13,-97
2,1,14,-293
2,1,15,67
2,1,16,476
2,1,17,981
2,1,18,1495
2,1,19,1650
2,1,20,1808
2,1,21,1953
2,1,22,1629
2,1,23,1962
2,1,24,2364
2,2,1,2459
2,2,2,2562
2,2,3,2618
2,2,4,2524
2,2,5,2599
2,2,6,2532
2,2,7,2646
2,2,8,2055
2,2,9,875
2,2,10,393
2,2,11,924
2,2,12,845
2,2,13,670
2,2,14,676
2,2,15,692
2,2,16,472
2,2,17,1282
2,2,18,1331
2,2,19,1194
2,2,20,1402
2,2,21,1574
2,2,22,1890
2,2,23,2229
2,2,24,2159
2,3,1,2261
2,3,2,2320
2,3,3,2339
2,3,4,2349
2,3,5,2374
2,3,6,2271
2,3,7,2613
2,3,8,1801
2,3,9,995
2,3,10,241
2,3,11,371
2,3,12,425
2,3,13,584
2,3,14,560
2,3,15,529
2,3,16,604
2,3,17,1222
2,3,18,1696
2,3,19,1808
2,3,20,1976
2,3,21,2136
2,3,22,2166
2,3,23,2518
2,3,24,2550
2,4,1,2502
2,4,2,2571
2,4,3,2553
2,4,4,2619
2,4,5,2620
2,4,6,2653
2,4,7,2870
2,4,8,2619
2,4,9,1472
2,4,10,181
2,4,11,-78
2,4,12,391
2,4,13,263
2,4,14,279
2,4,15,192
2,4,16,-322
2,4,17,1307
2,4,18,1580
2,4,19,1506
2,4,20,1497
2,4,21,1515
2,4,22,1383
2,4,23,1750
2,4,24,1498
2,5,1,1312
2,5,2,1495
2,5,3,1664
2,5,4,1686
2,5,5,1617
2,5,6,1769
2,5,7,1939
2,5,8,1428
2,5,9,420
2,5,10,-91
2,5,11,-263
2,5,12,-620
2,5,13,-575
2,5,14,-527
2,5,15,-467
2,5,16,182
2,5,17,1575
2,5,18,2351
2,5,19,2407
2,5,20,2376
2,5,21,2237
2,5,22,1970
2,5,23,2199
2,5,24,2266
2,6,1,2360
2,6,2,2204
2,6,3,2062
2,6,4,2149
2,6,5,2047
2,6,6,2037
2,6,7,2333
2,6,8,1977
2,6,9,978
2,6,10,340
2,6,11,352
2,6,12,94
2,6,13,11
2,6,14,-150
2,6,15,155
2,6,16,529
2,6,17,1651
2,6,18,2232
2,6,19,2466
2,6,20,2495
2,6,21,2425
2,6,22,1707
2,6,23,1558
2,6,24,1843
2,7,1,2201
2,7,2,2251
2,7,3,2172
2,7,4,2167
2,7,5,2270
2,7,6,2527
2,7,7,2542
2,7,8,2183
2,7,9,920
2,7,10,-173
2,7,11,-367
2,7,12,-424
2,7,13,-560
2,7,14,-775
2,7,15,-880
2,7,16,-289
2,7,17,1853
2,7,18,2301
2,7,19,2391
2,7,20,2433
2,7,21,2216
2,7,22,1718
2,7,23,2076
2,7,24,1962
2,8,1,1707
2,8,2,1297
2,8,3,1215
2,8,4,1236
2,8,5,1445
2,8,6,2030
2,8,7,2115
2,8,8,1815
2,8,9,700
2,8,10,263
2,8,11,190
2,8,12,-51
2,8,13,-42
2,8,14,-48
2,8,15,10
2,8,16,821
2,8,17,1723
2,8,18,2069
2,8,19,2070
2,8,20,1847
2,8,21,1281
2,8,22,1551
2,8,23,1281
2,8,24,694
2,9,1,708
2,9,2,535
2,9,3,509
2,9,4,700
2,9,5,1465
2,9,6,1783
2,9,7,2056
2,9,8,1808
2,9,9,928
2,9,10,274
2,9,11,241
2,9,12,246
2,9,13,88
2,9,14,59
2,9,15,180
2,9,16,722
2,9,17,2195
2,9,18,2049
2,9,19,2011
2,9,20,1792
2,9,21,1796
2,9,22,1596
2,9,23,818
2,9,24,864
2,10,1,72
2,10,2,9
2,10,3,-101
2,10,4,-101
2,10,5,492
2,10,6,1772
2,10,7,1385
2,10,8,1522
2,10,9,376
2,10,10,-265
2,10,11,-682
2,10,12,-484
2,10,13,-275
2,10,14,-557
2,10,15,-617
2,10,16,38
2,10,17,1856
2,10,18,1545
2,10,19,1392
2,10,20,1038
2,10,21,1369
2,10,22,1307
2,10,23,895
2,10,24,436
2,11,1,257
2,11,2,186
2,11,3,265
2,11,4,386
2,11,5,874
2,11,6,1284
2,11,7,1749
2,11,8,1106
2,11,9,336
2,11,10,-6
2,11,11,-231
2,11,12,-295
2,11,13,-458
2,11,14,-467
2,11,15,-463
2,11,16,152
2,11,17,1819
2,11,18,1648
2,11,19,1609
2,11,20,1236
2,11,21,1736
2,11,22,1468
2,11,23,843
2,11,24,469
2,12,1,57
2,12,2,-7
2,12,3,29
2,12,4,-12
2,12,5,13
2,12,6,574
2,12,7,977
2,12,8,342
2,12,9,-268
2,12,10,-208
2,12,11,-385
2,12,12,-820
2,12,13,-933
2,12,14,-987
2,12,15,-845
2,12,16,-441
2,12,17,1585
2,12,18,2108
2,12,19,2216
2,12,20,1687
2,12,21,1762
2,12,22,1512
2,12,23,716
2,12,24,288
2,13,1,721
2,13,2,437
2,13,3,75
2,13,4,154
2,13,5,442
2,13,6,918
2,13,7,512
2,13,8,-57
2,13,9,-741
2,13,10,-976
2,13,11,-809
2,13,12,-1057
2,13,13,-1129
2,13,14,-1121
2,13,15,-1167
2,13,16,-723
2,13,17,810
2,13,18,1199
2,13,19,1260
2,13,20,1124
2,13,21,778
2,13,22,1110
2,13,23,584
2,13,24,411
2,14,1,-220
2,14,2,-81
2,14,3,-125
2,14,4,-87
2,14,5,130
2,14,6,898
2,14,7,882
2,14,8,-14
2,14,9,121
2,14,10,-309
2,14,11,-491
2,14,12,-480
2,14,13,-565
2,14,14,-729
2,14,15,-757
2,14,16,-368
2,14,17,167
2,14,18,873
2,14,19,847
2,14,20,960
2,14,21,458
2,14,22,329
2,14,23,-122
2,14,24,-348
2,15,1,-405
2,15,2,-541
2,15,3,-605
2,15,4,-558
2,15,5,-320
2,15,6,617
2,15,7,882
2,15,8,77
2,15,9,-84
2,15,10,-51
2,15,11,-407
2,15,12,-722
2,15,13,-804
2,15,14,-812
2,15,15,-791
2,15,16,-479
2,15,17,-803
2,15,18,407
2,15,19,550
2,15,20,431
2,15,21,600
2,15,22,343
2,15,23,-234
2,15,24,-603
2,16,1,-546
2,16,2,-683
2,16,3,-624
2,16,4,-464
2,16,5,-156
2,16,6,1189
2,16,7,1160
2,16,8,1279
2,16,9,-246
2,16,10,-648
2,16,11,-794
2,16,12,-767
2,16,13,-732
2,16,14,-870
2,16,15,-861
2,16,16,-710
2,16,17,-688
2,16,18,1403
2,16,19,1294
2,16,20,1290
2,16,21,1026
2,16,22,1194
2,16,23,725
2,16,24,-224
2,17,1,-483
2,17,2,-481
2,17,3,-420
2,17,4,-474
2,17,5,-157
2,17,6,997
2,17,7,2061
2,17,8,1331
2,17,9,-607
2,17,10,-867
2,17,11,-1186
2,17,12,-1342
2,17,13,-1087
2,17,14,-1009
2,17,15,-944
2,17,16,-665
2,17,17,693
2,17,18,1004
2,17,19,973
2,17,20,1026
2,17,21,1005
2,17,22,818
2,17,23,705
2,17,24,-456
2,18,1,70
2,18,2,72
2,18,3,28
2,18,4,169
2,18,5,989
2,18,6,1770
2,18,7,1577
2,18,8,1647
2,18,9,283
2,18,10,-506
2,18,11,-501
2,18,12,-692
2,18,13,-770
2,18,14,-960
2,18,15,-693
2,18,16,-354
2,18,17,1292
2,18,18,1644
2,18,19,1567
2,18,20,1332
2,18,21,1138
2,18,22,866
2,18,23,589
2,18,24,864
2,19,1,-304
2,19,2,-436
2,19,3,-500
2,19,4,-581
2,19,5,-244
2,19,6,146
2,19,7,756
2,19,8,-645
2,19,9,-1629
2,19,10,-1570
2,19,11,-1719
2,19,12,-1926
2,19,13,-1807
2,19,14,-1992
2,19,15,-1838
2,19,16,-1554
2,19,17,365
2,19,18,1943
2,19,19,2016
2,19,20,1539
2,19,21,1444
2,19,22,1316
2,19,23,514
2,19,24,-361
2,20,1,-645
2,20,2,-1039
2,20,3,-1150
2,20,4,-1148
2,20,5,-894
2,20,6,-201
2,20,7,360
2,20,8,-774
2,20,9,-1513
2,20,10,-1764
2,20,11,-1779
2,20,12,-1882
2,20,13,-1790
2,20,14,-1637
2,20,15,-1642
2,20,16,-1454
2,20,17,-745
2,20,18,1581
2,20,19,1732
2,20,20,1588
2,20,21,1651
2,20,22,1384
2,20,23,-395
2,20,24,-552
2,21,1,1252
2,21,2,1020
2,21,3,1166
2,21,4,1395
2,21,5,1864
2,21,6,1724
2,21,7,1912
2,21,8,495
2,21,9,-212
2,21,10,94
2,21,11,103
2,21,12,9
2,21,13,80
2,21,14,1
2,21,15,-35
2,21,16,254
2,21,17,746
2,21,18,1635
2,21,19,1477
2,21,20,1568
2,21,21,1403
2,21,22,1338
2,21,23,1222
2,21,24,739
2,22,1,1409
2,22,2,988
2,22,3,802
2,22,4,918
2,22,5,1430
2,22,6,2054
2,22,7,1266
2,22,8,619
2,22,9,-83
2,22,10,-422
2,22,11,-541
2,22,12,476
2,22,13,453
2,22,14,435
2,22,15,523
2,22,16,665
2,22,17,1009
2,22,18,1041
2,22,19,981
2,22,20,1266
2,22,21,1498
2,22,22,1707
2,22,23,2140
2,22,24,1930
2,23,1,2161
2,23,2,2091
2,23,3,2140
2,23,4,2466
2,23,5,2727
2,23,6,2401
2,23,7,1771
2,23,8,1100
2,23,9,784
2,23,10,502
2,23,11,282
2,23,12,40
2,23,13,1
2,23,14,-144
2,23,15,-163
2,23,16,24
2,23,17,679
2,23,18,647
2,23,19,549
2,23,20,411
2,23,21,680
2,23,22,857
2,23,23,1848
2,23,24,2199
2,24,1,1564
2,24,2,1830
2,24,3,2079
2,24,4,2317
2,24,5,2169
2,24,6,2033
2,24,7,1663
2,24,8,844
2,24,9,734
2,24,10,744
2,24,11,585
2,24,12,483
2,24,13,541
2,24,14,565
2,24,15,588
2,24,16,539
2,24,17,775
2,24,18,1149
2,24,19,991
2,24,20,754
2,24,21,1460
2,24,22,1683
2,24,23,2093
2,24,24,2128
2,25,1,2539
2,25,2,2501
2,25,3,2500
2,25,4,2606
2,25,5,2639
2,25,6,2640
2,25,7,2210
2,25,8,1351
2,25,9,974
2,25,10,706
2,25,11,952
2,25,12,1019
2,25,13,740
2,25,14,636
2,25,15,686
2,25,16,828
2,25,17,1329
2,25,18,1998
2,25,19,1789
2,25,20,1920
2,25,21,1943
2,25,22,2002
2,25,23,2385
2,25,24,2326
2,26,1,2351
2,26,2,2280
2,26,3,2279
2,26,4,2263
2,26,5,2592
2,26,6,2547
2,26,7,2493
2,26,8,2346
2,26,9,1444
2,26,10,854
2,26,11,800
2,26,12,598
2,26,13,492
2,26,14,305
2,26,15,338
2,26,16,458
2,26,17,1553
2,26,18,1785
2,26,19,2000
2,26,20,2137
2,26,21,2070
2,26,22,2136
2,26,23,2289
2,26,24,2307
2,27,1,1940
2,27,2,1822
2,27,3,1643
2,27,4,1507
2,27,5,1813
2,27,6,1928
2,27,7,2037
2,27,8,964
2,27,9,189
2,27,10,67
2,27,11,0
2,27,12,61
2,27,13,-10
2,27,14,-134
2,27,15,-166
2,27,16,6
2,27,17,1731
2,27,18,2129
2,27,19,1760
2,27,20,1662
2,27,21,1889
2,27,22,1832
2,27,23,1849
2,27,24,1675
2,28,1,1459
2,28,2,1465
2,28,3,1571
2,28,4,1493
2,28,5,1780
2,28,6,1366
2,28,7,1493
2,28,8,839
2,28,9,-560
2,28,10,-476
2,28,11,-597
2,28,12,-736
2,28,13,-663
2,28,14,-758
2,28,15,-788
2,28,16,-473
2,28,17,381
2,28,18,1279
2,28,19,1357
2,28,20,1452
2,28,21,1496
2,28,22,1380
2,28,23,1173
2,28,24,1231
3,1,1,1074
3,1,2,474
3,1,3,308
3,1,4,271
3,1,5,818
3,1,6,1393
3,1,7,1018
3,1,8,-341
3,1,9,-218
3,1,10,-57
3,1,11,-26
3,1,12,-21
3,1,13,-71
3,1,14,-25
3,1,15,-132
3,1,16,-89
3,1,17,-395
3,1,18,837
3,1,19,823
3,1,20,870
3,1,21,915
3,1,22,448
3,1,23,1128
3,1,24,776
3,2,1,816
3,2,2,375
3,2,3,332
3,2,4,497
3,2,5,1462
3,2,6,1454
3,2,7,1656
3,2,8,461
3,2,9,-737
3,2,10,-833
3,2,11,-614
3,2,12,-472
3,2,13,-537
3,2,14,-585
3,2,15,-534
3,2,16,-22
3,2,17,429
3,2,18,1293
3,2,19,1393
3,2,20,1397
3,2,21,1343
3,2,22,1248
3,2,23,665
3,2,24,646
3,3,1,995
3,3,2,945
3,3,3,906
3,3,4,973
3,3,5,1140
3,3,6,935
3,3,7,1064
3,3,8,3
3,3,9,-175
3,3,10,-788
3,3,11,-1136
3,3,12,-1189
3,3,13,-1214
3,3,14,-1258
3,3,15,-1083
3,3,16,-673
3,3,17,-388
3,3,18,350
3,3,19,370
3,3,20,350
3,3,21,606
3,3,22,179
3,3,23,-1
3,3,24,-132
3,4,1,-551
3,4,2,-221
3,4,3,-152
3,4,4,39
3,4,5,499
3,4,6,712
3,4,7,1105
3,4,8,751
3,4,9,476
3,4,10,784
3,4,11,288
3,4,12,-198
3,4,13,-149
3,4,14,-175
3,4,15,-270
3,4,16,-464
3,4,17,-476
3,4,18,1104
3,4,19,1360
3,4,20,973
3,4,21,853
3,4,22,359
3,4,23,49
3,4,24,-83
3,5,1,165
3,5,2,-18
3,5,3,90
3,5,4,59
3,5,5,152
3,5,6,382
3,5,7,500
3,5,8,-253
3,5,9,-758
3,5,10,-845
3,5,11,-688
3,5,12,-170
3,5,13,-389
3,5,14,-633
3,5,15,-814
3,5,16,-372
3,5,17,-58
3,5,18,1186
3,5,19,1327
3,5,20,1069
3,5,21,1052
3,5,22,714
3,5,23,799
3,5,24,616
3,6,1,-74
3,6,2,-68
3,6,3,-103
3,6,4,68
3,6,5,416
3,6,6,669
3,6,7,205
3,6,8,-168
3,6,9,-836
3,6,10,-1056
3,6,11,-1307
3,6,12,-1268
3,6,13,-1000
3,6,14,-1170
3,6,15,-1106
3,6,16,-896
3,6,17,430
3,6,18,1033
3,6,19,1449
3,6,20,1464
3,6,21,900
3,6,22,569
3,6,23,1152
3,6,24,620
3,7,1,1161
3,7,2,1207
3,7,3,1089
3,7,4,1090
3,7,5,1258
3,7,6,829
3,7,7,1151
3,7,8,514
